Country,Page,Range,Type,Provider
ID,107,+62916XXXXX(XX),geographic,
ID,102,+62810XXXXXX(XX),mobile,PT Telekomunikasi Selular (Telkomsel)
ID,100,+62765XXXXX(X),geographic,
ID,100,+62766XXXXX(X),geographic,
ID,107,+62917XXXXX(XX),geographic,
ID,10,+6222XXXXX(XX),geographic,
ID,102,+62811XXXXXX(XX),mobile,PT Telekomunikasi Selular (Telkomsel)
ID,107,+62918XXXXX(XX),geographic,
ID,110,+62981XXXXX(XX),geographic,
ID,102,+62812XXXXXX(XX),mobile,PT Telekomunikasi Selular (Telkomsel)
ID,100,+62766XXXXX(X),geographic,
ID,10,+6222XXXXX(XX),geographic,
ID,110,+62981XXXXX(XX),geographic,
ID,107,+62918XXXXX(XX),geographic,
ID,103,+62813XXXXXX(XX),mobile,PT Telekomunikasi Selular (Telkomsel)
ID,16,+62251XXXX(XX),geographic,
ID,103,+62815XXXXXX(XX),mobile,PT INDOSAT Tbk
ID,110,+62983XXXXX(XX),geographic,
ID,106,+62902XXXXX(XX),geographic,
ID,13,+62232XXXX(XX),geographic,
ID,103,+62816XXXXXX(XX),mobile,PT INDOSAT Tbk
ID,16,+62251XXXX(XX),geographic,
ID,15,+62251XXXX(XX),geographic,
ID,100,+62767XXXXX(X),geographic,
ID,107,+62921XXXXX(XX),geographic,
ID,103,+62817XXXXXX(XX),mobile,Excelcomindo GSM
ID,106,+62910XXXXX(XX),geographic,
ID,17,+62253XXXX(XX),geographic,
ID,102,+62778XXXXX(X),geographic,
ID,103,+62818XXXXXX(XX),mobile,Excelcomindo GSM
ID,10,+6222XXXXX(XX),geographic,
ID,13,+62232XXXX(XX),geographic,
ID,109,+62962XXXXX(XX),geographic,
ID,103,+62819XXXXXX(XX),mobile,Excelcomindo GSM
ID,18,+62254XXXX(XX),geographic,
ID,16,+62251XXXX(XX),geographic,
ID,13,+62233XXXX(XX),geographic,
ID,110,+62984XXXXX(XX),geographic,
ID,109,+62966XXXXX(XX),geographic,
ID,108,+62929XXXXX(XX),geographic,
ID,15,+62251XXXX(XX),geographic,
ID,10,+6222XXXXX(XX),geographic,
ID,103,+62820XXXXXX,mobile,Komselindo STKB-C (AMPS)
ID,110,+62986XXXXX(XX),geographic,
ID,18,+62254XXXX(XX),geographic,
ID,101,+62771XXXXX(X),geographic,
ID,108,+62929XXXXX(XX),geographic,
ID,107,+62921XXXXX(XX),geographic,
ID,100,+62768XXXXX(X),geographic,
ID,16,+62251XXXX(XX),geographic,
ID,109,+62967XXXXX(XX),geographic,
ID,17,+62253XXXX(XX),geographic,
ID,110,+62986XXXXX(XX),geographic,
ID,103,+62821XXXXXX,mobile,Komselindo STKB-C (AMPS)
ID,14,+62234XXXX(XX),geographic,
ID,19,+62260XXXX(XX),geographic,
ID,107,+62922XXXXX(XX),geographic,
ID,13,+62233XXXX(XX),geographic,
ID,103,+62822XXXXXX,mobile,Komselindo STKB-C (AMPS)
ID,15,+62251XXXX(XX),geographic,
ID,12,+6223XXXXX(XX),geographic,
ID,106,+62911XXXXX(XX),geographic,
ID,10,+6222XXXXX(XX),geographic,
ID,105,+62870XXXXX,satellite,Indosat 
ID,107,+62923XXXXX(XX),geographic,
ID,102,+62778XXXXX(X),geographic,
ID,1,62,proper,
ID,101,+62772XXXXX(X),geographic,
ID,10,+6222XXXXX(XX),geographic,
