Country,Page,Range,Type,Provider
IS,11,354546XXXX,geographic,Símafélagið ehf
IS,11,354547XXXX,geographic,Hringdu ehf
IS,13,354568XXXX,geographic,Síminn hf
IS,1,354385XXXXXX,mobile,Síminn hf
IS,1,354388XXXXXX,mobile,IMC Islande ehf (Viking)
IS,11,354550XXXX,geographic,Síminn hf
IS,1,354389XXXXXX,mobile,IMC Islande ehf (Viking)
IS,15,354611XXXX,mobile,365 miðlar hf
IS,10,354532XXXX,geographic,Síminn hf
IS,15,354612XXXX,mobile,365 miðlar hf
IS,13,354569XXXX,geographic,Síminn hf
IS,1,354,proper,
IS,17,354637XXXX,TETRAmobileservices,Öryggisfjarskipti ehf
IS,10,354533XXXX,geographic,Síminn hf
IS,11,354551XXXX,geographic,Síminn hf
IS,13,354570XXXX,geographic,Síminn hf
IS,15,354594XXXX,geographic,Fjarskipti / Vodafone ehf
IS,17,354638XXXX,TETRAmobileservices,Öryggisfjarskipti ehf
IS,14,354582XXXX,geographic,365 miðlar hf
IS,25,3548005000,freephone,Síminn hf
IS,15,354613XXXX,mobile,365 miðlar hf
IS,11,354552XXXX,geographic,Síminn hf
IS,15,354614XXXX,mobile,365 miðlar hf
IS,15,354615XXXX,mobile,Fjarskipti / Vodafone ehf
IS,16,354616XXXX,mobile,Fjarskipti / Vodafone ehf
IS,15,354595XXXX,geographic,Fjarskipti / Vodafone ehf
IS,14,354583XXXX,geographic,Síminn hf
IS,16,354617XXXX,mobile,Fjarskipti / Vodafone ehf
IS,17,354639XXXX,TETRAmobileservices,Öryggisfjarskipti ehf
IS,13,354571XXXX,geographic,Fjarskipti / Vodafone ehf
IS,26,354806XXXX,freephone,Síminn hf
IS,25,3548006000,freephone,Síminn hf
IS,16,354618XXXX,mobile,Fjarskipti / Vodafone ehf
IS,10,354534XXXX,geographic,Fjarskipti / Vodafone ehf
IS,16,354620XXXX,mobile,Fjarskipti / Vodafone ehf
IS,14,354585XXXX,geographic,Síminn hf
IS,17,354640XXXX,TETRAmobileservices,Öryggisfjarskipti ehf
IS,15,354596XXXX,geographic,Fjarskipti / Vodafone ehf
IS,11,354553XXXX,geographic,Síminn hf
IS,16,354621XXXX,mobile,Fjarskipti / Vodafone ehf
IS,16,354622XXXX,mobile,Fjarskipti / Vodafone ehf
IS,1,354190X,mobile,
